player,team_abbr,min_per100,pts_per100,reb_per100,ast_per100,stl_per100,blk_per100,tov_per100,name_key
Tristan da Silva,ORL,46.9,19.1,8.0,2.4,1.5,0.5,1.8,tristan da silva
Mohamed Diawara,NYK,44.9,19.0,7.3,4.3,2.3,1.0,2.3,mohamed diawara
Jamal Cain,ORL,46.3,19.0,4.5,2.0,2.0,0.5,2.0,jamal cain
Donovan Clingan,POR,46.5,19.0,18.4,3.0,0.9,2.5,1.6,donovan clingan
Anthony Gill,WAS,44.9,18.9,10.0,0.0,0.0,1.1,4.4,anthony gill
Ziaire Williams,BKN,48.1,18.9,5.4,1.5,1.9,1.0,2.3,ziaire williams
Kenrich Williams,OKC,47.9,18.8,9.5,6.1,2.0,0.2,2.2,kenrich williams
Pelle Larsson,MIA,45.2,18.8,5.4,6.7,1.1,0.5,1.9,pelle larsson
Ronald Holland II,DET,46.5,18.8,8.7,3.4,3.2,0.5,3.0,ronald holland ii
Bryce McGowens,NOP,46.0,18.7,5.2,3.6,1.4,0.4,1.1,bryce mcgowens
Isaiah Jackson,IND,46.7,18.7,15.1,2.1,1.9,2.1,2.9,isaiah jackson
Jay Huff,IND,46.5,18.7,9.3,3.2,0.8,5.5,2.0,jay huff
Ron Harper Jr.,BOS,47.0,18.6,7.0,9.3,2.3,4.7,0.0,ron harper jr
Rui Hachimura,LAL,47.4,18.6,5.5,1.3,0.9,0.3,1.2,rui hachimura
Cam Christie,LAC,50.0,18.5,9.3,3.0,1.5,0.5,1.5,cam christie
Garrison Mathews,IND,46.1,18.4,4.0,2.4,1.4,0.7,0.7,garrison mathews
Jordan McLaughlin,SAS,45.2,18.4,4.8,5.8,3.4,0.0,1.9,jordan mclaughlin
Trey Alexander,NOP,49.2,18.4,5.3,5.3,1.3,1.3,1.3,trey alexander
Walter Clayton Jr.,UTA,46.1,18.4,5.5,8.8,1.3,0.6,3.1,walter clayton jr
Cameron Johnson,DEN,47.9,18.3,5.6,3.7,1.0,0.4,1.5,cameron johnson
Christian Braun,DEN,47.7,18.3,7.0,4.8,1.3,0.4,2.1,christian braun
Josh Green,CHA,49.2,18.3,5.6,3.5,2.5,0.0,1.1,josh green
